Employee_Name,EmpID,State,Zip,DOB,DateofHire,DateofTermination,Age,PayRate,Position,Sex,Sexual_Orientation,LGBTQ,Indigenous,Ethnicity,Disability,Minority,Veteran,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,Attrition,DistanceFromHome,JobInvolvement,JobSatisfaction,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PercentageSalaryHike,TotalWorkingYear
sdv-id-PaVspH,373755096,Wyoming,3718,10/06/1986,2003-05-27,2010-12-31,25,148.22,Production Technician I,Female,Heterosexual,No,No,Asian,No,No,No,Active,Production       ,Pay Per Click - Google,Fully Meets,No,43.91,7,9,Yes,23,6,8,80,1,3,2,5,4,7,0,1.0,28.86,25
sdv-id-VzEDPk,7276030319,Alaska,2429,04/01/1984,2002-06-20,2023-10-23,19,136.47,Area Sales Manager,Female,Heterosexual,No,No,Latin,No,No,Yes,Active,Sales,Diversity Job Fair,PIP,No,5.76,4,8,Yes,11,6,2,80,1,0,6,5,8,4,4,0.0,15.79,31
sdv-id-eanwNj,237028024,Connecticut,1013,12/14/1971,2002-10-18,2011-09-23,27,34.64,Production Technician I,Female,Heterosexual,Yes,No,White,Yes,No,Yes,Active,Sales,Pay Per Click - Google,Fully Meets,No,37.92,5,9,No,11,10,1,80,1,3,6,9,3,4,0,2.0,20.67,4
sdv-id-KrqXAp,529417179,Indiana,4782,10/29/1987,2009-03-26,Present,47,121.41,BI Developer,Male,Heterosexual,No,No,White,Yes,No,No,Active,IT/IS,Pay Per Click - Google,Fully Meets,No,31.92,5,5,No,14,1,5,80,0,6,3,2,1,4,0,3.0,20.26,5
sdv-id-sZlzgC,348122393,Indiana,2331,09/13/1990,2021-07-01,2023-01-20,30,48.68,Production Technician II,Female,Heterosexual,No,No,Asian,No,No,No,Active,Production       ,On-campus Recruiting,Fully Meets,No,33.24,10,9,No,17,9,9,80,0,0,5,9,11,1,0,6.0,11.58,31
sdv-id-FUBHir,5962386613,Tennessee,1781,12/17/1987,2022-11-06,2023-03-13,35,88.51,IT Manager - Support,Female,Heterosexual,No,No,White,Yes,Yes,No,Voluntarily Terminated,Production       ,Professional Society,Fully Meets,No,47.31,7,8,No,16,8,10,80,0,0,3,10,7,3,5,0.0,24.82,0
sdv-id-CKUGFd,7738583977,Oregon,4549,08/17/1992,2003-11-27,Present,20,55.09,Area Sales Manager,Male,Heterosexual,No,No,Asian,No,Yes,No,Active,Production       ,Professional Society,Fully Meets,No,46.59,4,6,No,15,4,9,80,1,2,5,4,6,1,0,0.0,17.38,6
sdv-id-OqHljc,4854565451,South Dakota,5547,12/27/1974,2021-08-14,2022-09-24,40,144.26,Area Sales Manager,Female,Prefer not to say,No,No,White,No,Yes,Yes,Terminated for Cause,Sales,Newspager/Magazine,Fully Meets,Yes,12.63,5,8,No,11,9,7,80,1,3,4,9,3,0,0,1.0,14.38,15
sdv-id-gTyrUg,7297756523,Nevada,1797,12/08/1983,2007-09-15,2014-08-21,22,76.65,Production Technician II,Male,Heterosexual,No,No,White,Yes,Yes,No,Active,Production       ,Search Engine - Google Bing Yahoo,Fully Meets,No,46.74,1,9,No,11,2,2,80,0,0,3,1,3,4,1,0.0,8.36,10
sdv-id-PWYEcE,9506995658,Wisconsin,4260,08/17/1992,2021-05-02,2023-02-12,54,54.71,Area Sales Manager,Male,Heterosexual,Prefer not to say,No,White,Yes,No,No,Voluntarily Terminated,IT/IS,Information Session,Fully Meets,Yes,46.11,8,7,No,12,8,6,80,0,0,2,6,1,1,0,0.0,26.67,19
